"","x"
"1","222996_s_at"
"2","222996_s_at"
"3","224516_s_at"
"4","224516_s_at"
"5","222996_s_at"
"6","224516_s_at"
"7","224516_s_at"
"8","224516_s_at"
"9","224516_s_at"
"10","222996_s_at"
"11","222996_s_at"
"12","224516_s_at"
"13","222996_s_at"
"14","222996_s_at"
"15","222996_s_at"
"16","222996_s_at"
"17","222996_s_at"
"18","222996_s_at"
"19","233955_x_at"
"20","224516_s_at"
"21","233955_x_at"
"22","222996_s_at"
"23","224516_s_at"
"24","224516_s_at"
"25","222996_s_at"
"26","233955_x_at"
"27","224516_s_at"
"28","224516_s_at"
"29","224516_s_at"
"30","222996_s_at"
"31","224516_s_at"
"32","224516_s_at"
"33","224516_s_at"
"34","222996_s_at"
"35","233955_x_at"
"36","224516_s_at"
"37","233955_x_at"
"38","229177_at"
"39","229177_at"
"40","225799_at"
"41","238178_at"
"42","227198_at"
"43","224654_at"
"44","224654_at"
"45","231015_at"
"46","227419_x_at"
"47","225799_at"
"48","226303_at"
"49","238075_at"
"50","226319_s_at"
"51","238178_at"
"52","228802_at"
"53","238178_at"
"54","226320_at"
"55","238075_at"
"56","225915_at"
"57","238075_at"
"58","225915_at"
"59","48031_r_at"
"60","48031_r_at"
"61","231015_at"
"62","238751_at"
"63","228802_at"
"64","227826_s_at"
"65","229019_at"
"66","229288_at"
"67","226192_at"
"68","226320_at"
