"","Gene.symbol","logFC"
"358","RDH12",-2.7
"359","CA2",-2.14
"361","CXCL17",-3.6
"362","BHLHA15",-1.88
"363","KLF15",-1.56
"364","GPRC5C",-1.59
"365","TCF3",-1.29
"366","ACTN1",1.72
"367","SVIP",-1.04
"368","TNFSF11",1.91
"369","AUH",-1.01
"370","PPP2R3A",-1.69
"372","ASTN1",-2.37
"373","MGP",2.41
"374","",-2.2
"375","UMAD1",-1.02
"378","MYOC",-2.32
"379","",-1.76
"380","DOK5",1.01
"382","CLCNKB",-2.53
"386","CFC1",-2.15
"387","IL11",2.9
"389","C3",1.82
"391","UBXN10-AS1",1.7
"392","CWH43",-3.12
"393","PXMP2",-1.6
"394","SIRT5",-1.61
"395","PP7080",-2.2
"396","ARHGAP24",-1.6
"397","",-1.06
"398","PLPP5",-1.09
"399","RNF144A-AS1",-1.23
"400","SLC16A7",-2.57
"402","LUM",1.16
"403","TPCN2",-3.25
"405","RARRES1",2.31
"406","NABP1",1.23
"407","FLNA",1.33
"409","",-1.24
"410","HPS6",-1.96
"411","SERTM1",-1.78
"412","CEBPB",1.26
"413","KCNE2",-5.88
"414","CLDN18",-2.59
"415","GALNT2",1.01
"416","TMEM220",-1.41
"417","OLMALINC///PP7080",-1.85
"418","PACRG",-1.49
"422","SULF2",1.5
"423","ROBO1",1.03
"424","NRP1",1.76
"425","DGKD",-1.42
"426","VSIG2",-2.88
"427","CMTM4",-1.3
"428","RAI14",1.22
"429","LINC00982",-3.22
"430","ELOVL5",1.05
"432","SEMA7A",1.7
"435","TMEM161B",-1.63
"436","CA4",-1.97
"439","",-1.31
"441","HTRA3",1.39
"442","PIAS4",2.16
"443","CLIC6",-3.39
"445","MYRIP",-3.32
"446","SERP2",-1.49
"447","SLC41A2",-1.34
"448","RAB27A",-1.32
"449","",-2.76
"450","ADTRP",-2.23
"451","ONECUT2",3.23
"453","LINC00238",-2.46
"455","GPER1",-2.35
"461","",-2.87
"464","CD109",1.93
"465","",-1.32
"466","SULF1",2.62
"467","KCNJ15",-1.93
"468","ACTN1",1.38
"469","ISLR",1.45
"470","MFSD4A",-1.72
"471","MAST4",-2.46
"472","LEF1",1.32
"473","LAMP2",-1.07
"474","APOE",1.7
"475","SIDT2",-1.13
"476","CNR1",-1.82
"480","CSGALNACT2",1.01
"481","APOC1",2.59
"482","ERO1B",-2.31
"483","",-2.34
"484","BHLHE41",1.22
"485","DNER",-2.85
"486","MIR181A2HG",1.99
"487","CDC14B",-1.02
"488","ZAK",1.04
"489","LMO4",-1.16
"490","ANKRD22",-1.27
"491","LYRM5",-1.68
"492","DHRS7",-1.26
"493","PAIP2B",-2.27
"494","FCGR2C///FCGR2A",-1.38
"495","",-2.26
"496","COBLL1",-1.45
"498","ZNF664-FAM101A///FAM101A",-1.42
"499","IGFBP7",1.05
"500","CYP3A5",-1.5
"502","RAB11FIP2",-1.43
"503","CMTM3",1.74
"504","MYZAP",-1.16
"507","C1orf116",-1.38
"508","LOC101930489///MIR4435-2HG///LINC00152",1.25
"511","TMPRSS2",-2.04
"512","",1.62
"515","LOC202181",-1.16
"516","FBXL13",-2.53
"518","SSTR1",-2.56
"520","CELA2A///CELA2B",-2.34
"521","PMEPA1",1.91
"522","ANKS6",1.91
"523","TRIM74///TRIM73",-2.55
"524","FGD4",-1.34
"525","RAB27A",-1.34
"527","FAM20A",-1.54
"528","CA9",-3.14
"529","ALAD",-1.19
"530","CHP1",-1.34
"531","CLEC11A",1.84
"532","CHRDL2",2.66
"533","MAGI1",-1.01
"534","GPRC5B",-1.41
"535","CXADR",-1.23
"536","SCARB1",1.08
"539","LINC00675",-2.25
"541","S100A4",1.21
"542","CTSC",1.17
"545","VCAN",1.31
"546","LOC285593",-2.14
"548","AEBP1",1.57
"549","RAB27B",-1.62
"550","MMD",1.09
"552","SOSTDC1",-4.6
"553","LOC283194",-1.61
"555","AQP4",-3.56
"556","NUCB2",-1.08
"557","LOC101929570",-2.22
"559","HOMER1",1.02
"560","KIAA1755",1.88
"561","RNASE4",-1.44
"564","MINCR",-1.52
"566","HOXC5",-1.8
"567","LOC100233156///TEKT4P2///MAFIP",-1.32
"568","AGXT",-1.59
"570","PODXL",1.14
"572","TNFRSF11B",2.83
"575","TP53AIP1",-1.08
"576","PDGFD",-1.77
"577","ALDH6A1",-1.53
"579","CA4",-2.37
"580","ZNF682",-1.71
"582","LIPH",-1.12
"583","LOC100129516",-1.64
"584","SYNJ2BP-COX16///COX16",-1.09
"585","LOC101926959",-3.63
"586","VASH1",1.72
"587","SVIL",1.02
"589","LOC101928881",-1.45
"590","SPP1",2.76
"591","WIPF3",-2.36
"593","GDPD5",2.38
"594","DKFZP434K028",-1.18
"595","AGT",1.74
"596","KRTAP2-1",-1.8
"598","MICALL1",-1.08
"599","LPCAT1",1.46
"601","HOXA1",2.35
"602","ERO1B",-1.99
"603","KCNJ15",-2.85
"604","",-1.12
"606","MRGPRG-AS1",-1.61
"608","KCNJ13",-2.79
"609","OLFML2B",1.57
"610","HEPH",1.82
"612","TMED6",-3.53
"614","",-1.87
"615","CHIA",-5.51
"618","CLDN4",3.07
"620","CAB39L",-1.32
"621","AZGP1",-3.71
"623","TNFRSF25",1.35
"624","ALDH3A1",-2.81
"625","UBE2QL1",-2.02
"626","LOX",1.02
"627","MAGI1",-1.73
"628","",-1.63
"629","TMEM92",-1.17
"633","GPRC5C",-1.66
"636","MECOM",-1.38
"638","MAP3K9",1.46
"639","DUT",1.16
"640","CAPN9",-3.03
"641","RAP1GAP2",-1.5
"642","TPD52L1",-1.76
"644","RASSF6",-1.81
"645","",-2.48
"646","EMILIN1",1.28
"647","",1.67
"648","",-2.15
"649","PLEKHO1",1.74
"650","COL3A1",1.86
"651","",-2.38
"652","BMP1",1.79
"654","SLC20A1",1.04
"656","DLGAP1-AS2",1.99
"657","NNT",-1.23
"659","HTRA1",1.23
"660","COL4A1",1.03
"661","SOX4",1.32
"662","LOC100507281",-1.16
"663","MAPRE3",-1.59
"664","GPR161",1.04
"666","LINC01333",-2.21
"668","NABP1",1.11
"670","LEPROT///LEPR",-2.01
"672","CTH",-1.46
"673","PLIN5",-2.52
"675","",-1.04
"676","ARHGEF28",-1.36
"678","",-1.87
"681","RIMBP2",-1.92
"682","RNASE1",-1.77
"684","ZAN",-1.22
"685","SULT1B1",-1.62
"686","",1.23
"687","HRH1",1.01
"688","DGKH",1.33
"690","AFDN",-2.22
"691","",-1.49
"695","",-2.03
"696","CLDN1",2.38
"698","ANTXR1",1.17
"699","PDIA2",-3.58
"700","AQP4",-2.9
"701","DBT",-1.23
"702","",1.28
"704","CCBE1",-2.52
"705","HOMER2",-2.29
"707","COL8A1",2.18
"708","GRAMD1B",-1.09
"710","ADHFE1",-1.55
"712","LOC100506870///LOC283140",-1.1
"713","NUDT1",1.01
"714","BHLHE40",1.02
"715","MUC5AC",-3.23
"717","CARNS1",-2.12
"718","DRD5",-2.56
"719","",-1.31
"720","GXYLT2",1.25
"721","CPA2",-3.8
"722","ADAM28",-1.32
"723","CTNNB1",1.09
"725","PTGER3",-2.07
"726","VSTM2A",-2.56
"727","GPR155",-1.93
"729","DNAI2",-1.87
"731","PPFIA3",1.53
"733","ARHGEF28",-1.24
"734","AGMAT",1.18
"735","DLG3-AS1",-1.12
"736","PLAU",1.37
"737","EHBP1L1",1.76
"739","SLC10A3",1.98
"740","TMEM161B",-1.36
"743","LINC00161",-2.33
"744","",-1.88
"745","LOC284578",-2.27
"746","C11orf87",-1.83
"748","FSCN1",1.76
"749","CNTNAP4",-2.28
"750","FUT9",-2.51
"751","MECOM",-1.41
"752","DYX1C1-CCPG1///CCPG1",-1.03
"753","SRPX2",2.14
"755","TPD52L1",-2.53
"756","C2orf82",1.3
"758","RARS",1.18
"759","",-1.76
"761","LOC100131262",1.35
"762","",-1.03
"764","ITGB8",2.01
"768","CLEC4G",-1.89
"769","SLC25A4",-1.28
"771","",-1.58
"772","BCAP29",-1.89
"773","TIMP2",1.15
"774","LONRF2",-1.05
"776","SNTG1",-2.3
"779","ACADL",-2.24
"781","SBSPON",-1.82
"782","SERHL2",-1.3
"784","IGF2BP3",2.29
"785","ACSM3",-1.85
"786","",-1.44
"787","PLCXD3",-2.95
"788","FAM20A",-1.43
"789","POM121L10P///POM121L8P///POM121L9P",1.73
"791","ADGRG2",-2.96
"792","EPHB2",1.76
"794","SUSD4",-2.08
"795","PTPRE",-1.65
"796","CMTM4",-1.24
"797","ANOS1",1.63
"798","PLLP",-1.38
"799","SLC2A12",-2.66
"800","CYP27A1",2.11
"801","CCKAR",-3.13
"803","PIK3C2A",-1.48
"804","GPR155",-2.57
"805","PFDN4",1.16
"807","GPNMB",1.49
"809","MEIS3",1.16
"811","INTS1",1.02
"813","TMEM171",-2
"814","BTG3",-1.2
"815","FN1",1.56
"816","",-2.64
"819","RAB11FIP2",-1.28
"820","NR2F2",-1.14
"822","CEMIP",2.35
"823","TMEM116",-1.16
"824","FBXO32",1.08
"825","SPACA9",1.58
"827","",-1.22
"828","KLHDC7A",-1.89
"829","CNTD1",-3.39
"831","ZDHHC2",-1.03
"832","",-1.69
"835","IGF2BP3",2.61
"836","LDHD",-1.95
"839","EPM2A",-1.77
"840","TMEM171",-2.01
"841","ACADL",-2.02
"842","",-1.28
"843","COMP",2.11
"844","CPEB3",-2.05
"848","WISP1",2.68
"849","CDC25B",1.29
"851","OR7E14P",-1.01
"852","GLUL",-1.09
"855","LOC400043",-2.04
"856","EGR4",1.85
"858","",-1.63
"859","KRT17///JUP",1.93
"862","TOP1MT",1.04
"863","SLC1A2",-2.08
"864","COL1A1",1.96
"865","ADRB2",-1.19
"867","VGLL1",-1.94
"870","SPP1",2.8
"871","KCNJ15",-2.92
"874","KIAA1191",-1.04
"876","SH3BGRL2",-1.1
"877","KCNQ1DN",-2.24
"878","SLC16A7",-1.69
"879","VSTM2A",-2.54
"880","COL11A1",4.11
"881","MARC2",-1.12
"882","",1.55
"883","TFF1",-2.03
"884","ZFY",-2.64
"885","SORBS2",-1.43
"888","THBS4",2.21
"889","SFRP4",2.52
"890","LMO4",-1.04
"892","EPB41L4B",-1.12
"893","TRIM74///TRIM73",-2.82
"898","TYR",-1.39
"900","INSIG1",-1.3
"902","APLP1",-2.97
"905","",-2.04
"906","DDX49",1.45
"907","PGC",-4.79
"908","LOC101928195///LOC100996643///MTHFD1L",1.15
"909","TLN2",-1.44
"911","EPOR",-1.39
"912","CKM",-4.01
"916","PLEKHG2",2.14
"917","HIPK2",-1.05
"919","FA2H",-1.02
"922","E2F3",1.01
"923","SLC29A2",-1.45
"924","LOC101928916///NNMT",1.42
"927","",-1.93
"928","TRIM2",-2.17
"929","IRS4",-2.13
"930","ZNF85",-1.46
"931","C1orf116",-1.41
"932","SMIM11A",-1.72
"933","FOXS1",1.74
"935","ADAM12",1.82
"937","APOBEC2",-2.02
"941","TCN1",-2.5
"942","NRXN2",1.83
"948","GIT2",1.14
"950","EGR2",1.46
"951","EPN3",-2.14
"952","CNTN3",-2.82
"953","FLJ33534",-1.54
"954","HNRNPA3///HNRNPA3P1",1.05
"955","LUC7L",-1.05
"958","OSR2",2.13
"959","INTS4",-1.95
"960","MIR6836///SNX8",1.43
"963","SLC16A7",-1.94
"968","INSIG1",-1.35
"970","LINC00858",1.91
"971","LOC101927263",-1.96
"974","EPB41L4B",-1.16
"975","LOC100996286",1.41
"976","CYP2U1",-1.53
"977","GRIA3",-2.58
"978","MIR4435-2HG",1.57
"981","",-1.76
"982","ANGPTL2",1.06
"985","",-2.02
"986","PMEPA1",1.83
"988","ADAP1",1.09
"990","",-2.04
"992","KCNJ8",1.08
"993","ZNF385B",-2.44
"995","PTGER3",-3.01
"996","ME1",-2.12
"998","B4GALNT3",-1.55
"999","ATP4A",-6.46
"1002","",-1.09
"1003","FAM150B",-2.44
"1005","DGKZ",1.92
"1006","ARHGEF37",-1.63
"1009","PDILT",-4.05
"1010","LIMCH1",-1.07
"1011","ANKRD22",-1.34
"1012","PYGB",-1.55
"1013","MAGI3",-1.08
"1014","MAP3K10",-1.52
"1015","RUBCN",-1.73
"1016","LINC00982",-2.68
"1017","UPP1",1.88
"1020","GCNT2",-2.11
"1022","NNT",-1.22
"1024","CYB5R1",-1.39
"1026","LINC01343",-1.29
"1027","",-2.13
"1028","FBN1",1.16
"1030","MAATS1",-1.44
"1031","PPID",-1.01
"1032","LYRM5",-1.16
"1033","SGK1",-1.16
"1034","",-1.24
"1035","AVP",-1.89
"1036","DYX1C1-CCPG1///CCPG1",-1.07
"1037","RASSF6",-1.44
"1038","",-2.01
"1039","RTKN",1.06
"1041","",-2.05
"1043","FAM13A",-1.12
"1044","FMO6P",-1.82
"1045","CYP3A5",-1.25
"1046","",-1.03
"1049","DNM1",1.39
"1050","GLUL",-1.6
"1052","HYI-AS1",-1.79
"1053","SGK2",-1.42
"1054","GALNT5",-1.31
"1055","RGMB",-1.55
"1058","ABCC5",-1.16
"1061","NXT2",-1.13
"1064","TTC6",-1.95
"1067","DOC2B",-1.67
"1070","CCKBR",-3.56
"1072","",-1.86
"1076","C10orf62",-1.54
"1078","MAL",-2.35
"1079","ANO5",-1.52
"1080","ITGBL1",1.44
"1084","",-2.83
"1086","TKFC",-1.06
"1089","EDDM3A",-2.23
"1090","GATA4",-1.57
"1091","PDLIM7",1.79
"1093","SEMA3F",-1.63
"1094","CKMT2",-2.95
"1095","COL4A2",1.03
"1096","RNLS",-1.51
"1097","",-1.01
"1098","",-1.06
"1102","MFGE8",1.12
"1106","MSH5-SAPCD1///SAPCD1///MSH5",1.04
"1109","MTUS1",-1.01
"1110","COL11A1",3.38
"1111","UBE2J2",-1.78
"1112","IL24",2.08
"1113","ATP4B",-5.91
"1117","COBLL1",-1.4
"1121","",-1.6
"1122","ARHGEF28",-1.24
"1123","EPB41L4A",-1.32
"1124","TSPAN16",-1.5
"1125","SH3RF3",1.37
"1128","HOXB7",1.91
"1129","FOXN4",-1.62
"1130","ARHGEF28",-1.16
"1131","TCF4",1.31
"1132","SIRPG",-2.07
"1133","TPBGL",-1.09
"1135","RIN3",1.72
"1136","ASMTL-AS1",-1.48
"1140","AQP4",-4.38
"1142","ZNF169",-1.71
"1143","MUC5AC",-3.54
"1144","SPIC",-2.45
"1145","LINC01314",-2.77
"1149","PGC",-3.64
"1150","SOCS2",-1.18
"1154","METTL7A",-1.76
"1156","RASSF10",-1.4
"1163","PBRM1",-1.18
"1164","OTUD7B",-1.02
"1165","MEI1",-1.17
"1167","SLC26A9",-3.01
"1168","LOC100287413///GLYATL1",-1.82
"1170","CYP3A43",-1.69
"1172","RASSF4",1.01
"1174","HPGD",-2.04
"1175","C14orf180",-1.66
"1176","DDB2",1.14
"1177","WIPF3",-2.58
"1178","",1.34
"1179","SLC16A7",-2.34
"1180","NES",1.21
"1185","LINC00982",-2.33
"1187","COL5A3",1.66
"1188","FAM124B",1.86
"1189","NKX3-1",-1.48
"1190","NRP2",1.21
"1192","NEDD4L",-1.21
"1194","RASEF",-1.17
"1199","NECTIN3",-1.16
"1200","ATP2A2",-1.22
"1204","ARHGAP42",-1.87
"1206","CLDN18",-3.33
"1207","PTPRZ1",-2.22
"1208","TRIM50",-4.03
"1210","AKR1C3",-1.2
"1211","IGFBP2",-1.8
"1212","FGA",-1.65
"1213","ISM1",2.04
"1217","",1.82
"1218","TDO2",2.06
"1219","",-1.79
"1220","EDN1",-1.03
"1221","PRKACB",-1.45
"1225","KCNJ13",-2.64
"1226","UBIAD1",-1.86
"1227","",1.28
"1228","OGT",-1.63
"1229","RUNX2",-1.75
"1230","FAM46C",-1.49
"1231","ZNF729///ZNF43",-1.1
"1233","",-1.59
"1234","GPER1",-2.72
"1235","ANXA9",1.8
"1238","WWC1",-1.04
"1241","LEPROT///LEPR",-1.98
"1242","SHISA6",-1.2
"1243","MUM1L1",-2.37
"1244","FZD2",1.29
"1246","HMGN2P46",-1.13
"1248","FBP2",-3.83
"1249","DIAPH3",-1.11
"1252","LCAT",1.47
"1253","IP6K3",-1.63
"1254","SPRNP1",-1.09
"1257","ATP11A",1.13
"1258","SKAP2",1.21
"1260","ANG",-1.4
"1261","ACAT1",-1.04
"1262","KIAA1804",-1.13
"1267","MGAT4C",-2.39
"1268","MYH8",-1.35
"1269","KMT2C",-1.2
"1273","SPINK2",-2.51
"1276","",-2.13
"1277","TEX43",-2.19
"1279","ACVR1B",-1.58
"1280","ANGPTL3",-2.48
"1281","PCED1B",1.01
"1282","IFNL2",-1.68
"1283","",-1.57
"1284","ATP4B",-2.55
"1287","MLLT6",-1.54
"1288","",1.03
"1289","",1.47
"1293","GRAMD1C",-1.3
"1294","AKNAD1",-1.55
"1298","GHRL",-3.51
"1299","LOC101930361///LOC101929970///CHRFAM7A///CHRNA7",-1.12
"1301","MT1M",-3.54
"1303","TFPI",1.1
"1305","C7orf26",-1.51
"1307","DEFA4",-1.01
"1308","PHYHD1",-1.42
"1310","CTSL",1.01
"1311","IL19",-2
"1317","PVR",-1.58
"1318","CREB3L1",-1.49
"1319","MESP2",-1.93
"1320","COBLL1",-2.3
"1322","NUB1",-1.96
"1323","MAOA",-1.04
"1324","LOC100996542",-2
"1325","PCSK5",1.72
"1327","SLC39A10",1.06
"1328","PMEPA1",1.82
"1333","EMX2OS",-1.08
"1335","SBSPON",-1.76
"1336","CPXM1",2.6
"1337","HOXA-AS2",2.28
"1341","RRS1-AS1",-2.18
"1343","HPGD",-2.24
"1347","HPGD",-2.4
"1349","PARPBP",1.04
"1350","CBLC",1.71
"1354","MIR29C///MIR29B2",-1.46
"1355","SCGB2A1",-2.79
"1357","B4GALNT3",-2.02
"1358","",-2.08
"1361","FNDC5",-2.64
"1365","HDC",-2.24
"1366","TEAD4",1.22
"1367","SGO2",1.04
"1369","NEDD4L",-1.43
"1370","FAM231D///LOC388692",-1.4
"1371","ENG",1.2
"1373","CHRM3",-1.66
"1374","SDS",1.92
"1376","GUCA2B",-3.11
"1377","TTYH3",1.02
"1378","TIMP2",1.1
"1380","THOC6",1.1
"1381","GRK7",-2.43
"1382","C16orf89",-3.07
"1383","TMEM44",1.27
"1384","",-1.03
"1387","LOC101928525",-1.15
"1388","PIDD1",1.53
"1389","",-1.9
"1392","CYP3A43",-1.33
"1395","LOC100506860",-1.57
"1396","",-1.62
"1397","",-1.01
"1398","NUP188",-1.77
"1399","SIDT2",-1.11
"1400","",-1.62
"1404","ARHGAP24",-1.49
"1406","ITPK1",-1.68
"1407","GKN1",-5.49
"1408","AKR1B10",-2.38
"1409","FAM26E",1.35
"1411","AGTRAP",1.17
"1414","ZNF740",1.52
"1417","ENAH",-1.8
"1418","DUOX1",-1.91
"1420","EPHB3",-1.47
"1421","LOC101928916///NNMT",1.53
"1422","",-1.21
"1424","MIR1292///SNORD110///SNORD86///SNORD57///NOP56",1.11
"1425","KCNJ16",-1.95
"1426","",-2.16
"1427","UBTF",-1.24
"1429","LOC101927790",-1.53
"1432","MAP4K4",1.02
"1434","NPY",-1.05
"1435","SLC16A7",-1.86
"1436","PTER",-1.04
"1442","",-2.22
"1444","PPP1R36",-1.13
"1446","",-1.78
"1447","SERPINA2",-1.49
"1448","PTPRT",-1.72
"1451","FMO5",-1.42
"1455","SPATA19",-1.56
"1456","LZTS1",-1.28
"1458","KLHL7",1.18
"1461","GATA6-AS1",-2
"1463","ADAM28",-1.69
"1464","",-1.54
"1467","C20orf197",2.34
"1469","TRIO",1.27
"1472","PRRX1",1.54
"1476","ADRA1A",-1.46
"1477","ENPP1",-1.46
"1478","PBLD",-1.58
"1479","RARRES1",2.06
