"","Gene.symbol","logFC"
"1","COL1A2",2.73
"2","COL5A1",1.81
"3","COL1A1",2.37
"4","MUC5AC",-3.46
"5","INHBA",4.35
"6","COL6A3",2.18
"7","MFAP2",2.44
"8","FAM90A2P///FAM90A25P///FAM86B3P///FAM90A1",-2.47
"9","SPARC",1.78
"10","LOC100130872///SPON2",1.46
"11","SERPINH1",2.97
"12","COL8A1",3.17
"13","HOXA13",4.48
"14","COL1A1",2.6
"15","INHBA",4.98
"16","FAP",3.91
"17","COL18A1",1.45
"18","COL18A1",1.44
"19","COL5A2",1.6
"20","GALNT12",-1.16
"21","LIFR",-2.2
"22","KLHL25",1.94
"23","",-2.33
"24","COL3A1",1.34
"25","CDH11",1.54
"26","COL1A1",1.47
"27","C8orf49",-1.77
"28","EDNRA",1.32
"29","ONECUT2",3.39
"30","COL1A2",1.46
"31","COL6A2",1.32
"32","PRRX1",1.92
"33","COL3A1",1.79
"34","COL5A2",1.55
"35","COL3A1",1.3
"36","COL1A2",2.03
"37","VCAN",1.45
"38","LIFR",-2.55
"39","NOTCH3",1.18
"40","VCAN",1.42
"42","HOXA10",4.18
"43","RERE",-2.11
"44","SERPINE2",1.55
"45","ADAMTS2",3.24
"46","GRIA4",-4.04
"47","SULF1",2.65
"48","SPATA31E1",-1.33
"49","FN1",1.69
"50","GPR78///CPZ",3.15
"51","NID2",1.75
"52","FN1",1.75
"53","COL5A1",1.46
"54","FN1",1.71
"55","ZNF57",-1.4
"56","UBL3",-1.68
"57","PDGFRB",1.15
"58","BGN",2.35
"59","LMF1",-1.06
"60","",-1.71
"61","MUC5AC",-1.63
"62","UBE3C",-1.09
"63","",-1.26
"64","COL12A1",1.89
"65","BGN",2.28
"66","",-1.08
"67","PCOLCE",1.44
"68","ANKH",1.87
"69","SEPT11",1.03
"70","LIFR",-3.18
"71","MGC10814",-1.81
"72","",-1.53
"73","SOX4",1.68
"74","FN1",1.74
"75","",-2.31
"76","THY1",2.06
"78","RAB31",1.52
"79","ASB11",-2.75
"80","MDK",1.38
"81","VCAN",1.28
"82","COL5A1",1.46
"84","MAGI1",-1.31
"85","AKR7A3",-2.32
"86","PSAPL1",-2.83
"87","HOTAIRM1",1.5
"88","AKR7A3",-2.47
"89","PRKY///PRKX",1.2
"90","MFSD4A",-3.92
"91","THY1",1.9
"92","THBS2",2.94
"93","COL4A1",1.02
"94","COL4A2",1.14
"95","APOE",1.91
"96","LGALS1",1.21
"97","SULF1",2.42
"98","TIMP1",2.12
"99","FBN1",1.83
"100","IGFBP4",1.73
"102","SOX4",1.28
"103","BICC1",1.49
"105","ONECUT2",2.77
"106","CTSK",1.26
"107","APOC1",1.81
"108","FRMD1",-2.3
"109","HEYL",1.64
"110","C15orf65",-1.56
"111","PLIN5",-1.99
"112","HSPA6",1.07
"113","TGFBI",1.07
"114","HIST1H2BJ",1.97
"115","DLGAP1-AS2",2.73
"116","P4HA3",2.41
"117","HOXB7",2.12
"118","OR2C3",-2.65
"119","PLXDC2",1.15
"120","GATA4",-2.07
"121","SMIM6",-1.67
"122","ALDH6A1",-1.62
"123","BMP1",2.52
"124","DPCR1",-4.83
"125","",-2.05
"126","",-2.38
"127","TRIM50",-2.35
"128","NFE2L2",-1.58
"129","PCSK5",1.44
"130","HYAL1",-2.19
"131","RCN3",1.03
"134","CCDC169",-2.42
"135","COL10A1",3.72
"136","CXADR",-1.24
"137","RAB31",1.41
"139","ACSM3",-2.26
"140","GPNMB",1.85
"142","ZNF703",1.42
"143","TMEM158",1.36
"144","OXCT1",-1.41
"145","HRH1",1.98
"146","SH3GL2",-4.25
"147","NEURL1B",1.24
"148","ADAMTS12",2.41
"149","MEST",1.39
"150","LIF",1.17
"151","",-1.43
"152","CLIC6",-2.65
"153","LOC400940",-1.36
"155","GUCY1A3",1.55
"156","FAM167A-AS1",-3.4
"158","HKDC1",2.8
"159","LOC101928457",-1.96
"160","TEAD4",2.2
"161","GDF15",1.32
"164","MARVELD3",2.14
"165","KIR2DS4",-2.38
"166","SKI",1.11
"167","METTL8",1.01
"169","KLK11",-3
"170","BGN",1.75
"171","",-1.16
"173","CACNA1E",-1.78
"174","FAM107B",-1.02
"175","GUCY1A3",1.58
"177","RND1",-1.3
"178","RNASET2",-1.12
"179","TMPRSS2",-1.91
"181","DUSP10",1.01
"183","BCL2L10",-1.81
"184","",2.32
"185","CASZ1",-1.04
"186","MPC1",-1.25
"188","CTH",-1.38
"189","MUC6",-4.33
"190","COL6A1",1.12
"191","METTL7A",-1.7
"192","MYRF",-1.68
"193","",-2.48
"194","PDLIM7",2.88
"195","JPH2",-2.38
"196","STX12",-1.28
"197","DPCR1",-4.21
"198","SLFNL1",-1.25
"199","THY1",2.1
"200","C9orf66",-2.4
"201","C6orf1",1.9
"202","RCN1",1.18
"204","MIR6836///SNX8",2.22
"205","UBL3",-1.4
"206","",-1.07
"207","RASSF6",-2.03
"208","ACTN1",1.07
"209","FAM107B",-1.08
"210","LOC101928335",-2.74
"211","SFRP4",2.73
"212","EFEMP2",1.02
"213","VSIG1",-3.63
"214","SERPINF1",1.11
"216","CDH11",1.71
"218","FSTL1",1.08
"219","SGPP2",-1.18
"220","",-1.89
"221","DYX1C1-CCPG1///CCPG1",-1.12
"222","RAB27A",-1.23
"223","GALNT5",-1.1
"224","MAGI3",-1.09
"226","MFSD4A",-4.12
"227","CWH43",-2.95
"228","ALDH6A1",-1.69
"230","WIPF3",-1.95
"231","ASPN",2.06
"232","SLC2A12",-1.89
"235","TCEB3",-2.1
"236","IGFBP7",1.38
"237","CNGB3",-2.26
"239","CLEC11A",2.24
"240","AMIGO2",1.62
"241","RAB27A",-1.21
"243","ELOVL6",-1.13
"244","LUM",1.48
"245","",-2.88
"247","ARHGAP25",-2.41
"248","SVIP",-1.05
"249","PELI2",-1.2
"250","SALL4",2.87
"251","SFRP2",3.14
"252","REEP6",2.48
"253","SC5D",-2.03
"254","COL12A1",1.42
"255","RNF144A",1.09
"256","MFSD4A",-4.53
"257","LOC729296",-2.25
"258","COL3A1",1.42
"259","SPPL2B",1.79
"260","CLDN1",2.92
"261","CTHRC1",2.36
"262","AZGP1P1///AZGP1",-3.03
"263","C1orf116",-1.34
"264","FMO5",-2.08
"265","CST1",4.18
"266","VSIG1",-3.68
"267","",-1.75
"268","PLXDC2",1.01
"269","CLDN7",3.45
"270","RAB27A",-1.16
"271","ADTRP",-1.81
"273","CDC25C",-1.44
"274","VCAN",1.46
"275","RIMBP2",-1.59
"277","C19orf47",-1.44
"278","HOMER2",-1.91
"279","CDH3",2.95
"280","HOXB7",1.78
"282","SHROOM3",-1.08
"283","HOXA10",2.7
"284","C1QTNF5///MFRP",1.12
"285","SMIM5",-2
"286","FNDC1",3.27
"288","PGF",1.75
"289","ELL2",-1.23
"290","ALDH6A1",-1.65
"294","LIFR",-2.43
"295","PIEZO1",1.04
"297","AQP4",-5.81
"299","GRK2",-2.09
"301","SFRP2",2.2
"302","SPARC",1.06
"303","FUT9",-3.16
"304","PRKX",1.04
"305","CAMK2N1",3.84
"306","HOTAIRM1",1.3
"307","IL12A-AS1",-2.08
"309","NDUFC1",-1.66
"311","CABP1",-1.85
"313","",-1.44
"314","SUCLG2",-1.01
"315","EPN3",-1.71
"317","SPHK1",1.84
"318","RAB31",1.21
"319","SIGLEC11",-3.52
"320","CYSTM1",-1.62
"322","LRFN4",2.03
"324","PPFIBP2",-1.21
"325","PPP2R3A",-1.92
"327","SLC1A2",-2.77
"330","ALDH1A3",1.48
"331","PBLD",-1.71
"332","WISP1",2.33
"333","FA2H",-1.43
"334","GUCY1B3",1.17
"335","GUCY1A3",1.6
"336","",1.54
"338","RNASE4",-1.65
"339","CAPN9",-2.57
"340","ATP11B",-1.03
"341","",2.18
"342","BEX5",-2.17
"343","C1orf54",1.09
"344","",-1.11
"345","LOC101927533///LOC440867",-1.54
"346","MRPL45P2",-1.68
"347","C1orf210",-1.17
"348","FAM189A2",-1.81
"349","HKDC1",2.6
"350","ZMIZ2",1.1
"351","LOXL2",1.11
"352","STARD10",-1.13
"353","",-1.77
"354","VSIG2",-2.39
"355","PTER",-1.03
"356","HES4",2.21
"357","DCAF12L1",-2.94
