"","Gene.symbol","logFC"
"358","CIZ1",-1.22114998
"359","",2.00273619
"360","MAP4K5",1.76881997
"361","OCLN",2.40899317
"362","",1.85213098
"363","ELMO2",-1.42153509
"364","GDAP2",-1.7128426
"366","MPRIP",1.36464852
"367","",-1.86757422
"368","BMP5",1.93328392
"369","PAXIP1-AS2",1.36922433
"370","GLYR1",-1.36418715
"371","",-2.26751392
"373","HCG18",1.73523335
"374","",1.72786033
"375","SYTL4",2.66640869
"376","CWH43",3.64541178
"378","PEX13",2.17917001
"379","MYO10",1.93209067
"381","MAPKAPK2",-1.47202939
"382","AP2A1",-2.11040406
"383","",1.00545129
"384","SPATA6",2.52889166
"385","ENTPD5",1.44795349
"386","TNXB///ATF6B",1.25468205
"387","",-3.88606952
"388","",1.19070268
"389","KDM4C",1.27592413
"390","UXS1",1.25802649
"391","IL10RB",1.67498087
"392","PRKD2",1.660502
"393","ZNF275",-1.35804551
"394","",-2.24031583
"396","CCDC142",1.2967584
"398","SCYL2",-2.1433167
"399","PIGV",1.43730786
"400","GLDN",3.30250502
"402","",1.54618077
"404","",-1.67843502
"405","DR1",1.52324586
"406","AGO3",-1.50395007
"407","PGRMC2",1.72902265
"408","SEC24D",1.5742043
"409","NUP50",1.99277046
"410","OS9",-1.06014874
"411","PWWP2A",1.69081959
"412","SLC44A1",2.80983785
"413","NEDD4L",2.12269116
"414","",1.35604402
"415","CCDC186",3.228578
"416","",-2.2564103
"417","NSUN6",1.17047392
"418","ABHD6",1.54007488
"419","SLC7A8",2.48218003
"420","BCAR3",2.09802575
"421","CFAP44",2.02905178
"422","BRSK1",-1.44310683
"423","PPP1R3C",1.02545797
"424","",-1.81215382
"425","ATXN7L3B",1.68073553
"426","CLIC4",-2.94371657
"427","API5",-1.25764407
"428","NKX6-3",2.01100406
"429","",1.93965009
"430","BTBD2",-1.41247273
"431","JUND",-2.33987061
"432","CMBL",1.30034773
"433","ERAP1",1.19547495
"434","LRCH3",1.50826667
"435","",2.31469466
"436","ZDHHC21",1.41650086
"437","NCOR1",1.07396433
"438","C8orf49",1.92537721
"439","SCIN",1.00867488
"440","ATF7",-1.15265604
"441","KMT2C",-1.60530417
"442","",1.5900601
"443","FGD4",2.43604058
"444","MOB3A",-1.05282882
"445","SFXN3",1.79632674
"446","TMEM214",-1.30832287
"447","WHSC1L1",-1.27189371
"448","FNIP2",1.58608358
"449","EMP3",-2.77716391
"450","",-1.83190051
"451","HSPA4",-2.00639461
"452","MAML2",-1.22891143
"453","",-1.92443247
"454","ZNF785",1.57722697
"455","C22orf29///GNB1L",1.05283074
"457","PABPN1",1.12250549
"458","EFCAB14",1.37841636
"459","DCAF15",-1.33059064
"460","",-1.00014402
"461","KMT2D",-1.00549914
"462","SPSB1",-1.99741816
"463","SHH",2.53540949
"465","CPEB3",1.57114834
"466","IFNGR1",-2.23630375
"467","MGAT3",1.67220438
"468","",-2.35370877
"469","ANKFY1",-1.05357799
"471","SBNO2",-1.61547046
"472","",-1.49005743
"473","AKR1C1",2.57578083
"474","MGAT3",1.69667091
"475","ABHD6",1.46987627
"476","TMEM144",2.24920015
"477","NEUROD1",2.7019912
"478","COL6A2",-4.11512946
"479","USP33",-1.09054569
"480","CDK13",1.08229276
"481","NRIP1",-2.06200376
"482","KLHDC3",-1.62154536
"483","BBX",-1.93270674
"485","",1.37829982
"486","MUM1",-1.72417012
"487","LOC101930388///LOC101928143///NUMB",1.22260225
"488","DCAF7",1.17994812
"489","INSR",1.62773758
"491","ABCC5",2.293512
"492","PBRM1",-1.18749367
"493","ZNF662",2.74052594
"494","CUX1",-2.04060769
"495","CENPT",-1.50606639
"497","BSG",-1.76990743
"498","UCP2",-2.05780078
"499","ETV6",-1.39710244
"500","PLXNC1",-2.10170538
"501","C5AR1",-2.75065948
"502","CD74",-2.24148743
"503","MIR6789///PLEKHJ1",1.32120986
"504","RIT1",-1.90490629
"505","",1.66534445
"506","NASP",2.08118683
"507","MEF2A",1.52093901
"509","MTMR3",1.33510344
"510","YTHDC1",1.09046912
"511","",-1.22414023
"512","RIT1",1.92592741
"513","",1.51343364
"514","ATP9B",1.81591842
"515","NAV1",-2.19273592
"517","ALAD",1.25357729
"520","CDC42SE1",-1.25186404
"521","STX16",-2.18886702
"522","ASB8",1.08464503
"523","BRAP",1.19065628
"524","JPX",2.1037372
"525","MARCH7",1.56346444
"526","LY6E",-3.09320323
"527","",-1.42252242
"528","INO80B-WBP1///INO80B",-1.34466107
"529","GM2A",-1.62444745
"530","EVI5",1.6048451
"531","KIAA0907",-1.79026659
"532","ITPRIPL2",1.44093832
"533","LETM1",1.37390941
"534","XIAP",1.33729653
"535","PLEKHA2",-2.39010982
"536","NAPEPLD",2.55358566
"537","INIP",1.0433184
"538","AP2A1",-1.07780632
"539","TRIO",-1.86984828
"540","SLC22A5",1.749273
"541","",1.52228362
"542","CDK17",-1.41287675
"543","PTPDC1",1.40035591
"544","HFE",1.36269572
"545","",2.92475099
"547","BAG5",1.71484887
"549","ITCH",-2.14309633
"550","MRO",1.71152282
"551","SLC4A5///DCTN1",-1.38398187
"552","",2.89834068
"553","",1.15351653
"554","ACSL3",1.95096831
"555","AAMDC",1.53353242
"556","TNFAIP2",-1.26196425
"557","",1.34144031
"558","BCAR1",1.24125352
"559","BCL2L1",-2.10687896
"560","RIF1",-1.33110235
"563","TMEM173",-1.97121139
"564","STON2",2.04905148
"565","FBXW11",-1.62084049
"566","",1.41576701
"567","TNNI3K",1.32264678
"568","TRIO",-1.80896099
"569","STRN4",-1.43177925
"570","",1.14194396
"572","RANBP2",-1.71646031
"573","SLC4A2",-1.75775788
"574","AKT1S1",-1.31187986
"577","ROCK2",-1.42767225
"578","CBR1",2.23259878
"579","",-1.7610551
"580","LOC158402",1.6487656
"581","PATJ",2.24991731
"582","ANP32E",-2.48033766
"583","SLC25A36",-1.8200442
"584","LOC101929479///LOC727751///LOC642423///GOLGA2P7///GOLGA2P10",1.9174938
"585","RAB3IL1",-1.03087888
"586","SLC7A8",2.15306692
"587","",-1.13678914
"588","ICE2",-1.61049281
"590","GPC6",-2.50663624
"591","ADPRH",-1.22653007
"592","DCAF16",1.56842806
"593","NUP58",-1.60458874
"594","TMEM51-AS1",1.73435054
"595","",1.55723713
"596","SPAG9",-1.48292817
"597","ZZEF1",1.3013779
"598","KHNYN",1.25863065
"599","B4GALT4",1.58315565
"600","ZFYVE28",1.57673744
"601","",2.86612304
"602","LOC101928274///VSIG10",1.84330473
"603","",-2.33313614
"604","DHX9",-1.73203231
"605","IRF3",-1.21335653
"606","SGSM1",2.14392421
"607","SCIN",4.15859658
"608","VAC14",-1.25091692
"609","ARHGAP32",2.58639933
"610","",-2.0526008
"611","PIP4K2A",-1.91328039
"612","SLC44A1",1.94230458
"613","",1.00539832
"614","PIWIL2",2.03640066
"615","MIR612///NEAT1",-2.54406586
"616","MED31",1.55848762
"617","PPP1R9B",-1.54779635
"618","",1.49785905
"619","",2.25337154
"620","CENPB",-1.49613059
"621","ANAPC5",-1.27152789
"622","BRD1",1.08670175
"623","LARP1B",1.88042547
"625","TMEM27",3.36406666
"626","",1.77090543
"627","MAPRE1",-1.31345996
"628","EIF5B",1.44004712
"629","MAZ",-1.8014865
"630","TMEM57",1.57420053
"631","COPA",-2.00290924
"632","",1.54469427
"633","ABCF2",-1.23384377
"635","",1.41900721
"637","CMTM4",2.57848245
"638","",1.26807737
"639","UBE2I",1.03243582
"640","",-2.00236561
"641","MGA",-1.21946423
"642","ASPH",-1.79291451
"643","GTF2I",-1.51561351
"644","",1.40075327
"645","C6orf132",2.87398237
"646","RHOB",-3.01966046
"647","SDHAP2///SDHAP1///LOC220729///SDHA",2.35103584
"648","FKBP8",-1.49983721
"649","LOC102724093///GOLGA6L4///GOLGA6L9///GOLGA6L5P",1.92763169
"650","HGS",-1.10588685
"651","",1.40100742
"653","ABCC6P1",2.19203658
"654","PRAF2",-1.93528109
"655","KLHDC7A",2.72329201
"657","PNPLA2",-1.09401865
"659","",2.81634424
"660","TTN-AS1",-1.32355323
"661","RBM42",-1.36801982
"662","RGS1",-3.66301057
"663","",1.38951029
"664","PDGFA",1.89339202
"665","PSMF1",-1.19986431
"666","BCL2L1",-1.98821622
"667","",1.05768749
"668","CCDC124",-1.1245579
"669","",3.69975014
"670","",-2.16382422
"671","ANKRD11",1.19101027
"672","",-1.57234454
"673","GLTP",1.45289955
"674","PPP1CB",-1.62936681
"675","RSRP1",1.54907179
"676","",1.91325916
"678","RAB27A",2.82625925
"679","TMEM266",1.39057848
"680","MLF2",-1.2907219
"681","SIDT2",1.85097458
"682","SLC20A1",-2.50364967
"683","PFN1",-1.06896221
"684","PARVB",-1.87050638
"685","CYR61",-4.07479716
"688","FOXN3",-1.05383114
"689","HP1BP3",-1.13582778
"690","PLCH1",1.92754513
"692","",1.15648002
"693","YIF1B",-1.40618738
"694","",-2.16996016
"695","NAPEPLD",2.89589567
"696","AFTPH",1.50455994
"697","SVIL-AS1///PTCHD3P1",1.24712839
"699","RAB40B",1.73486927
"700","GPNMB",-2.83534659
"701","AHNAK",1.90986856
"702","CFAP44",1.68862336
"703","ZCCHC6",1.64844309
"705","",1.55208224
"707","KMT2A",-1.38165409
"708","AGO1",-1.19386824
"709","KDM2A",-1.0301375
"710","",2.00286586
"711","USF3",1.54037327
"712","PIK3C2A",-1.61747837
"713","",-2.04148328
"714","MAFB",-2.09579495
"715","ATP6V0A1",-1.18084858
"716","TLR3",1.12974108
"717","UXS1",1.11255446
"718","LARP4B",1.21081267
"719","",-1.09761269
"720","BGN",-3.6460396
"721","",-1.2333688
"722","PIAS2",-1.02945366
"723","",1.36616487
"726","PXMP4",1.33037226
"727","",-1.66993393
"728","RPS6KA6",1.65191554
"729","REPIN1",-1.92180873
"730","",-1.74690923
"731","IFITM2",-1.676114
"732","UBXN11",-1.13492873
"733","PRPF39",1.47048579
"734","MAP3K13",2.4197153
"735","",1.71610375
"736","SLC10A7",1.52393533
"737","PSD3",2.80019133
"738","",1.22555196
"739","MRPL30",-1.44297037
"740","GTF3C2",-1.08042641
"742","",-2.60561012
"743","XIAP",1.53235876
"744","",-1.10790484
"745","",2.48483324
"746","LOC643201",1.0793164
"748","RNF213",-2.51113761
"749","MAFG",1.35164954
"750","LOC101928916///NNMT",-3.28292542
"751","MAPK1IP1L",-1.05889247
"752","SF3B1",-1.03258173
"753","",1.6960511
"754","GIGYF1",-1.02405134
"755","DIP2A",1.37494298
"757","ZNF264",-1.63514926
"758","FAM104A",1.05518969
"759","MAGI3",2.06755597
"760","GAREM1",2.10025026
"761","ITPKA",2.7445159
"763","PML",-1.01854705
"764","THAP6",1.2784901
"765","FKBP5",-2.82541717
"766","STYK1",3.93680222
"767","",1.870992
"769","MARCH6",-1.62705821
"770","LOC202181",2.26344418
"771","FAF1",-1.6277058
"772","DCAF15",-1.22742752
"774","TMEM176B",-1.93593328
"776","METTL14",1.18750867
"777","SPTSSB",1.88915682
"778","UBALD1",-1.1881268
"781","ELK4",-1.57402375
"782","PDE4B",-2.45144027
"783","ZBTB20",1.12163065
"784","LIPH",3.02375784
"785","SMIM6",3.80918861
"786","BRD1",1.07407025
"787","SEC14L1P1",1.46346103
"788","SAP30L",1.01016266
"790","RSPRY1",1.28192544
"791","KCTD20",-1.3780271
"792","",1.47093629
"793","",1.16159893
"794","LARP1B",1.52157963
"795","EPB41L4B",2.19219567
"796","ZNF75D",1.26677723
"799","DNAJC3",-1.76366327
"800","",1.27225649
"801","QSOX1",1.84229025
"802","CTDSPL2",-1.58446039
"803","KBTBD3",1.17679412
"804","",2.16109263
"805","ABLIM1",1.77868559
"806","SSH1",-1.44656602
"807","DRAP1",-1.30241067
"810","PHF11",1.53189964
"811","IFITM3",-1.49948657
"812","LOC101928274///VSIG10",2.1190282
"813","SCAF1",-1.18639971
"814","",1.73377222
"815","",1.14169928
"816","NEK9",-1.08733938
"817","",1.47977723
"818","ENTPD3",1.67010999
"819","GDPD1",2.96394985
"820","CLIC4",-2.21511493
"821","",4.21245286
"823","NBEAL1",1.49444619
"824","NUDT12",1.28873058
"825","PNPLA6",-1.34034076
"826","LOC101926921///DAB2",-2.20633416
"827","NUDT16P1",1.53314048
"828","PARVB",-1.65081473
"829","TPP1",-1.19521122
"830","",-2.09317726
"831","",1.71807688
"832","MBNL1",-1.92221174
"833","CCNDBP1",1.38715431
"834","NIPA1",1.42972966
"835","GHDC",-1.34842704
"836","SLC38A1",-1.46078787
"837","FBXL4",1.46310361
"838","BICD1",-1.7394236
"839","TLN2",1.30665024
"840","CHMP2A",1.02907274
"841","ZNF827",1.10001458
"842","GPD1L",1.93140701
"843","ZNF148",-1.3657127
"844","ELOVL6",2.39616597
"845","",-2.13008269
"846","ANKHD1-EIF4EBP3///ANKHD1",-1.05674403
"847","GRINA",-1.81307823
"848","PCSK2",1.81185649
"849","SWSAP1",1.1859948
"851","DNAJC16",1.45359964
"852","LRRC57",1.34876946
"854","",1.49939618
"855","PRDM10",1.15274773
"856","NCOR1",1.08354416
"857","TMEM259",-1.36474929
"859","HAPLN1",2.53547659
"861","",-2.09371051
"862","GEM",-2.99884269
"864","GOLGA2P10",1.72013549
"867","TMEM128",1.18007541
"868","ARHGAP1",-1.40645193
"869","",2.03261331
"870","RSPH3",1.62359292
"872","TCP11L2",1.44231143
"873","SRGAP2",-1.73923692
"874","SHISA6",2.31317285
"875","LOC101928881",1.603874
"876","RAB40B",1.82698925
"877","",1.28873756
"878","FAHD1",2.09321088
"880","TPP1",-1.10881114
"881","OSMR",-2.61090762
"882","ASAP2",1.67952605
"883","",1.72322982
"884","",1.41011847
"885","E2F3",-1.16214474
"886","APOLD1",-2.70260444
"888","SMPD3",2.53184664
"889","RPUSD3",1.10577398
"892","G3BP1",-1.38949428
"893","LOC105369635",1.40964338
"894","SRSF3",-1.79561669
"895","",-2.71479761
"896","SSR1",1.43259939
"897","PTGR2",1.41091898
"898","DIO2",-3.66423829
"900","THY1",-2.85399979
"901","DAPK2",1.30610608
"902","KIAA1147",1.74352053
"903","",1.15058975
"904","SCARNA13///SNHG10",1.34854695
"905","C1QA",-2.19057112
"906","CDC42BPA",1.32245238
"907","PSMB7",-1.3046879
"909","ABHD18",1.05826659
"910","RARG",-1.1066703
"911","PPP3R1",1.93713085
"912","CHD9",1.66399853
"913","SNAPC3",1.25947241
"914","STOX2",1.58467671
"915","CTGF",-2.94970629
"916","TMEM92",1.42116187
"918","ALDH3A2",1.94216847
"919","KIAA1147",1.862291
"920","LOC101928963",1.0117479
"921","ALDOC",1.87560068
"927","LOC102723779",1.13039657
"928","THY1",-2.6802902
"929","LDHD",1.84974226
"930","PPTC7",-1.49163198
"931","MAZ",-1.13822037
"932","ZNF493",1.26388953
"933","SMARCB1",-1.03482506
"934","SNRPB2",1.00093619
"935","C2orf68",1.26279846
"936","SPATA5",2.71896474
"937","SETD2",1.17832828
"938","ALDH3A2",2.01629563
"939","MSL2",1.20869506
"940","TRAPPC10",1.36430464
"942","WDR1",-1.53919095
"943","ASCC2",1.23035522
"945","SMC6",1.26507498
"946","",1.67082747
"947","",1.93220864
"948","ERICH5",3.10061881
"949","DESI2",-1.02196746
"951","IGFBP4",-3.39094842
"953","NMT2",1.46248397
"954","DNAJC3",-1.78195822
"956","ATP13A4",2.08144022
"957","LILRB3",-1.0099455
"960","COL6A1",-3.17851205
"962","CBX5",-1.77800528
"963","PDLIM7",-3.73710827
"964","TRIM4",2.01702015
"965","MAF1",-1.07640167
"966","NDOR1",1.11618818
"968","SPTAN1",-1.42034261
"969","",1.01569159
"970","ATP6V1C1",-1.3291515
"971","SPRYD7",1.29220377
"972","TMEM267",-2.14310989
"973","",1.02718644
"974","AMPD1",2.8697799
"975","DR1",1.54511307
"976","CITED2",-2.17435554
"977","FAM76A",-1.57849039
"978","PRKCSH",-1.07184988
"980","FAM208B",-1.18873241
"981","ZNF397",1.06593366
"982","ACO1",1.21246535
"983","SLC25A20",1.58874247
"984","",-1.21865695
"985","TTC39B",1.74038402
"986","MAGI3",1.25862816
"987","BTF3L4",-1.03439294
"988","ACOX1",1.78878772
"989","ZADH2",1.39641249
"990","INO80D",1.02559347
"991","SLC45A4",1.83981639
"992","DMWD",-1.0169981
"993","FPR3",-1.97741954
"994","MMP19",-2.20112369
"995","C10orf10",-1.9126647
"996","UHMK1",-1.74562074
"997","STOX2",2.35376221
"998","",1.16363143
"999","RNASEH1",-1.30992479
"1000","KANSL1L",1.75840593
"1001","SNX24",1.24036164
"1002","LOC102724156",1.72112939
"1003","",1.35967576
"1006","ZDHHC17",-1.22397049
"1007","RASA2",-1.47384753
"1008","BMP1",-1.87357142
"1009","ENTPD1",-1.84845206
"1010","",1.38501256
"1011","BPTF",1.26240313
"1013","RPL32P3",1.57062251
"1014","YIPF5",1.22926617
"1017","NSMAF",-1.28348228
"1018","ABCA5",1.96501479
"1019","NAPEPLD",1.90328138
"1020","RBM26",1.48365283
"1021","ICA1",1.15543245
"1022","BCL2L2-PABPN1///PABPN1",1.25559085
"1023","FRY",1.38095425
"1024","TMEM38A",1.97916827
"1026","",1.53090508
"1027","RAD23A",-1.04163983
"1028","PTCD3",1.74706811
"1029","",-1.89650377
"1030","PEX11A",1.73888952
"1031","TMEM256-PLSCR3///PLSCR3",-1.21257881
"1032","SEC61B",1.20959005
"1034","CSF3R",-1.60279256
"1036","LILRB3",-1.07560111
"1039","SCARB2",-1.40350824
"1040","MFSD8",1.06324786
