"","Gene.symbol","logFC"
"1","BANF1",-3.12621444
"2","PCGF1",-2.71193257
"3","TRAPPC1",-2.98790111
"4","ATP6V1G2-DDX39B///SNORD84///DDX39B",-2.15370665
"5","",3.20628444
"6","KIF21A",3.34482461
"7","",2.79533347
"8","SNX27",-2.76446625
"9","QSER1",-3.59462047
"10","MALAT1",-3.53087866
"11","",2.78772282
"12","",2.9067366
"13","CEP350",-2.37142779
"14","HIPK1",-2.73228204
"15","MALAT1",-3.89468366
"16","SPTAN1",-3.12595135
"17","PRKCSH",-3.28818318
"18","",1.63009951
"19","EGR1",-5.90163501
"20","ERI3",-2.22379068
"21","EVI5",2.0128611
"22","",-2.55313323
"23","CFL1",-2.06712725
"24","RAP2A",-2.89917088
"25","",2.37709008
"26","AP2M1",-1.91990958
"27","NAPA",-1.87871905
"28","TRAF3IP2",1.98423465
"29","EXOC5",-2.78820458
"30","",3.27943444
"31","LOC101929368///FKBP1A",-2.05284418
"32","PKM",-3.83284068
"33","GALNT5",3.05709822
"34","",2.18637337
"35","PPP3R1",1.90952287
"36","CDC27",2.05668143
"37","ASB8",1.75049191
"38","RAP1GDS1",-2.54691278
"39","DNAJC7",-2.75935293
"40","ZNF652",-2.23743191
"41","ZNF654",1.75626395
"42","PTPN12",-3.03961584
"43","MIR612///NEAT1",-2.91126458
"44","CYB5R3",-2.6437742
"45","ARID1A",-2.4901848
"46","LOC728730",1.8921019
"47","ZNF548",-1.52568506
"48","ANKHD1",2.06971961
"49","ARHGEF7",-3.42757386
"50","VSTM2A",1.99546404
"51","SET",-2.74715356
"52","",2.58737439
"53","",4.63203581
"54","VSTM2A",2.24356599
"55","GNAQ",2.25820318
"56","ZFP36L2",-3.07212274
"57","VMP1",-3.28848018
"58","FMNL2",-2.94659914
"59","MIR612///NEAT1",-4.89318212
"60","NAPA",-1.77916668
"61","NMT2",2.42073667
"62","NUCB1",-2.02296991
"63","SEPT2",-2.28942371
"64","HIPK1",-2.51112052
"65","",2.50450692
"66","UBAP2L",-1.99742413
"67","AGO2",-2.16303325
"68","VPS35",1.34657671
"69","PSME3",-2.08960536
"70","KCNK10",1.77774641
"71","COA1",2.26423099
"72","",-2.51261862
"73","HNRNPUL1",-1.65465212
"74","NCKAP5",2.12948274
"75","LPCAT4",2.37912892
"76","ZBTB38",-2.2682127
"77","CD74",-3.78124615
"78","AAAS",-1.11555947
"79","SEPT2",-1.87910324
"80","MORC2-AS1",-1.56843405
"81","ABCF2",-1.76876956
"82","NSUN6",1.99431847
"83","SMCHD1",-2.84546646
"84","KBTBD2",-1.9243962
"85","TWF1",-2.70468122
"86","",1.48753416
"87","MAGI1",2.1696617
"88","LINC00675",2.51572006
"89","PHF3",1.74786244
"90","CLPTM1",-1.92397907
"91","MLLT10",-2.21734797
"92","",3.0650002
"93","",1.99228276
"94","GNA13",-2.40289359
"95","",-2.00580243
"96","",-1.66914533
"97","",2.06870615
"98","PCBP1-AS1",2.76213409
"99","",1.60736323
"100","MAPKAPK2",-1.22106899
"101","FAM186A",1.22734153
"102","",-2.77769966
"104","ENPP6",1.50905695
"105","",1.08602383
"106","PRR14",-1.78709556
"107","TRIP10",-2.04198412
"108","PEA15",-2.53128454
"109","U2SURP",1.77082223
"110","",-2.01931974
"111","MED17",1.74156055
"112","",1.79295969
"113","",2.28961526
"114","LMAN1",-2.40145161
"115","TGFB1",-3.29355412
"116","",2.23240713
"117","WTAP",-2.18020082
"118","THADA",-1.47991692
"119","PCAT18",2.45616008
"120","AGAP9",1.46026444
"121","YWHAH",1.78344476
"122","",1.46763852
"123","CTAGE5",2.52322366
"124","NUCKS1",-2.26857986
"125","COCH",-2.2600139
"126","SAMD4B",-1.97002136
"127","PRKAG2",1.4781392
"128","TLCD2",2.55622928
"129","",-2.08764021
"130","PURA",1.79522398
"131","ITCH",2.39154703
"132","THSD4",1.18334667
"133","EPG5",1.82787671
"134","YWHAE",-2.84062639
"135","",1.14250949
"136","",1.57900865
"137","G6PC3",-1.65147848
"138","FNDC3A",-1.9995345
"139","GATA4",2.21818405
"140","RAB14",1.36178879
"141","KPNA6",1.6671764
"142","CPEB3",1.66397018
"143","SP3",2.53316289
"144","",-1.58308381
"145","",1.57756628
"146","LOC643201",2.49825249
"147","SALL1",2.27302501
"148","DDX42",-2.26242775
"149","",1.29073547
"150","TEP1",1.76123325
"151","SMIM14",1.89984717
"152","HNRNPH1",-1.83695092
"153","C6orf106",1.43431303
"154","",1.38921504
"155","RAB11B-AS1",1.34061286
"156","EFCAB14",1.53081768
"157","VSTM2A",2.33715959
"158","JADE1",2.22198106
"159","NUMB",2.12702569
"160","SEPT2",-1.53954268
"161","RASA2",-1.88782931
"162","SRPRA",-1.3745353
"163","DOPEY2",1.55734498
"164","FNIP1",-1.86780089
"165","PET117///KAT14",1.63731699
"166","FTX",-1.88615747
"167","TPP1",-1.61839489
"168","SHC1",-1.65845959
"169","FER1L4",1.23324888
"170","LMO4",2.61883953
"171","SULT1C2",3.73850632
"172","PPP2R1A",-1.45334986
"173","",-2.86988348
"174","GNS",-2.09910169
"175","DHTKD1",2.10465169
"176","PAPD4",-2.39288096
"177","ASNA1",-1.24998472
"178","CPNE3",-2.3896277
"179","",1.32858326
"180","",1.07460118
"181","NKX6-3",2.71878556
"182","ARGLU1",1.7429357
"183","KAZALD1",2.48470267
"184","MIR4745///PTBP1",-1.67064314
"185","ZNF317",-1.67583266
"186","PIK3R1",-2.61397434
"187","ARRB2",-1.46659865
"188","KCNK10",2.20998706
"189","",2.16422647
"191","",-1.32408278
"192","PCIF1",-1.360505
"193","MCF2L",1.15309748
"194","MCL1",-3.28201037
"195","",2.32943627
"196","CNOT3",-1.78155848
"197","",-1.96261889
"198","GNAI2",-1.65199437
"199","FAM222B",-1.66557103
"200","CEPT1",-2.2265353
"201","CTNNBL1",1.53251929
"202","",-1.43836844
"203","PLD3",-2.13939725
"204","PANX1",-1.25896973
"205","CLINT1",-3.53813388
"207","ADAMTS13",1.69217651
"208","",2.11173741
"209","GIPR",1.71135157
"210","FMN1",1.64735442
"211","ACTB",-1.78403728
"212","PLEC",-2.72049863
"213","LYST",1.11382019
"214","C1S",-4.39848086
"215","ANAPC2",-1.44225661
"216","FBXL17",1.42130105
"217","CYP2C19",2.23406476
"218","STAG2",-1.596388
"219","",1.96779687
"220","",2.51232036
"221","CCDC134",1.80832017
"222","OTUD7B",1.6221379
"223","MALAT1",-1.87989185
"224","UBA1",-1.51812006
"225","KLHDC10",-1.43888997
"226","",1.18842871
"227","PAX6",3.34292297
"228","",1.48087332
"229","C6orf141",2.36030229
"230","LOC101929340",2.05475919
"231","",1.54214969
"232","STYK1",2.73511353
"233","KIAA1033",-1.81330644
"234","RBL2",-1.58434115
"235","SLC39A6",-1.83167498
"236","EPB41L4B",1.74049086
"237","NUCB1",-1.78670366
"238","CDV3",-2.21849752
"239","GMDS-AS1",2.20770289
"240","SUDS3",1.60099206
"241","",1.30353413
"242","MAP2K7",1.33937225
"243","GPATCH2L",1.02349758
"244","CIZ1",-1.42645542
"245","ZCCHC8",1.42079439
"246","DYNC1H1",-1.62621941
"247","RGS1",-3.58656101
"248","ZBTB3",1.26285619
"249","CAPRIN1",-1.52813626
"250","NUDT3",-1.86356671
"251","AFF1",-1.20098846
"252","",-1.66120514
"253","",1.73193373
"254","RDH5",1.44276415
"255","SF3B4",-1.79121561
"256","FAM161B",1.07503942
"257","PICALM",-1.82676086
"258","SRGAP1",-1.50866334
"259","ZYX",-2.84076015
"260","",1.31328596
"261","LINC01268",1.75396103
"262","",1.57876708
"263","MAGIX",1.73556323
"264","",1.58299243
"266","RPAIN",1.8061283
"267","TRIM28",-1.77336019
"268","EPG5",-1.35224512
"269","",-1.17468377
"270","",-1.67871711
"271","",1.45798599
"272","CSGALNACT2",-1.4893598
"273","",-2.28797248
"274","MRPL38",-1.50307067
"275","ZYX",-2.27468575
"276","CHDH",1.89977044
"277","AP3D1",1.37829808
"278","ZMYND11",-1.78230682
"279","PRR26",1.96351117
"280","LOC101929740///ZNF37A",1.7222911
"281","TRPM7",1.43696667
"282","ADH7",3.21195574
"283","ARHGDIB",-2.57569508
"284","",-1.69586864
"285","DICER1",-1.65260991
"286","",2.00446304
"287","LOC101930112///SPG7",1.83244069
"288","",-2.17936416
"289","",-1.69253594
"290","",-1.82542211
"291","SMARCC1",1.64944573
"292","",1.42944195
"293","LOC100996782///MED18",2.10840851
"294","ZNF785",1.87135879
"295","EPAS1",-2.25041829
"296","NUCKS1",-1.93338995
"297","KIAA1033",-1.57662529
"298","",1.39484709
"300","MON1B",1.35460985
"301","",1.16634096
"302","",-2.43936955
"303","LINC01355",-1.74428886
"304","HMGN2P46",3.41063711
"305","SREK1",1.23138131
"306","LOC100294033///TCAF1",1.9557541
"307","PPP1R10",-1.64363521
"308","BICDL1",2.61217678
"309","TAOK1",-1.5507371
"310","YWHAE",-1.55612542
"311","SLC30A5",1.37305873
"312","DR1",2.19645243
"313","SLC35D1",2.18113634
"314","EPHX1",-2.81337326
"315","KDM4C",1.29586075
"316","FYN",-2.43555
"317","FIZ1",-1.18999106
"318","",1.04121803
"319","FAM198B",-3.17902132
"320","SYT16",2.43311832
"321","USP46",1.54704905
"322","LOC102724275",1.31155032
"323","HIST1H3E",2.36066674
"324","FKBP8",-1.67301545
"325","JAK1",1.60413413
"326","",1.54090384
"327","TMEM173",-2.12796722
"328","STX5",-1.12400248
"329","RAB27A",3.0876226
"330","KMT2C",1.92918353
"331","RDH11",1.78798898
"332","ANKRD11",1.21312654
"333","CD4",-1.95097853
"334","",2.21576633
"335","CDC42",-1.65336512
"336","",1.55215593
"337","ARHGAP32",2.86436016
"338","MAP4",1.54346392
"339","CDC42BPA",1.15347359
"340","DCAF15",-1.2874209
"341","TMEM144",1.62121665
"342","BMP1",-1.21624982
"343","SYNJ2BP-COX16///SYNJ2BP",2.36996729
"344","",1.05288361
"345","ERMAP",1.23822565
"346","SPINK7",2.26534968
"347","RBM22",-1.09464898
"348","WASF2",1.50326502
"349","",1.44695681
"350","",-1.64252622
"351","CWH43",3.83417476
"352","DICER1",-1.78202977
"353","SMARCD1",-1.29255605
"354","SNX24",1.77395047
"355","RALGDS",-1.3446391
"356","COL1A1",-4.30007157
"357","CYR61",-4.34468148
